,Name,Type,Consistent,Bright,Evolves,Dynamic,OscillatorWaveShape,OscillatorOct,OscillatorSemi,OscillatorDetune,FilterCutoffFrequency,FilterLFOCutoffMod,FilterEnvCutoffMod,LFOSpeed,LFOFadeIn,OscillatorWaveShape2,OscillatorOct2,OscillatorSemi2,OscillatorDetune2,AttackTime,DecayTime,SustainLevel,SustainTime,ReleaseTime,AttackTime2,DecayTime2,SustainLevel2,SustainTime2,ReleaseTime2,VibratoSpeed,VibratoAmount,KeyboardUnison,KeyboardUnisonToggle,KeyboardDetune
0,09_03_Pad_03,Pad,False,False,True,False,1,0,0,0.380952388,0.1984127015,0.5,0.8125,0.6349206567,0,1,-1,0,0.6190476418,0.400000006,0.5454545617,0.2545454502,1,0.4847841263,0,0.6000000238,0.5,1,0.5718053579,0.5,0.6875,0,true,0.21875
1,09_03_Pluck_04,Pluck,False,False,False,True,0,1,0,0.3412698507,0.2301587313,0.796875,0.828125,0.6746031642,0,0,1,0,0.6587301493,0.2181818187,0.5272727013,0.2181818187,0.0625,0.4847841263,0.2545454502,0.2909090817,0.1636363566,0.0625,0.5454545617,0.3359375,0.359375,1,true,0.390625
2,09_03_Pluck_05,Pluck,False,False,False,True,1,1,0,0.3412698507,0.2301587313,0.796875,0.828125,0.6746031642,0,0,1,0,0.6587301493,0.2181818187,0.5272727013,0.2181818187,0.0625,0.4847841263,0.2545454502,0.2909090817,0.1636363566,0.0625,0.5454545617,0.3359375,0.359375,1,true,0.390625
3,09_03_Pad_02,Pad,False,False,True,False,1,0,0,0.396825403,0.293650806,0.734375,0.8125,0.7109375,0,1,-1,0,0.6031746268,0.400000006,0.5454545617,0.2545454502,1,0.4847841263,0,0.6000000238,0.5,1,0.5718053579,0.5,0.6875,0,true,0.359375
4,09_03_Pluck_02,Pluck,False,False,False,True,2,1,0,0.3412698507,0.1428571492,0.796875,0.828125,0.6746031642,0,2,1,0,0.6587301493,0.1454545408,0.5636363626,0.4363636374,1,0.4847841263,0.200000003,0.4181818068,0.2909090817,0.4140625,0.7272727489,0.3359375,0.359375,1,true,0.390625
5,09_03_Pad_05,Pad,False,False,True,False,0,0,0,0.6031746268,0.1984127015,0.5,0.8125,0.7142857313,0,1,-1,0,0.396825403,0.400000006,0.5454545617,0.2545454502,1,0.4847841263,0,0.6000000238,0.5,1,0.5718053579,0.2578125,0.6953125,0,true,0.5078125
6,09_03_Pad_04,Pad,False,False,True,False,0,0,0,0.380952388,0.1984127015,0.5,0.8125,0.8412698507,0,1,-1,0,0.6190476418,0.400000006,0.5454545617,0.2545454502,1,0.4847841263,0,0.6000000238,0.5,1,0.5718053579,0.5,0.6875,0,true,0.21875
7,09_03_Pluck_03,Pluck,False,False,False,True,2,1,0,0.3412698507,0.1428571492,0.796875,0.828125,0.6746031642,0,2,1,0,0.6587301493,0.2181818187,0.5272727013,0.2181818187,0.0625,0.4847841263,0.2545454502,0.2909090817,0.1636363566,0.0625,0.5454545617,0.3359375,0.359375,1,true,0.390625
8,09_03_Pad_07,Pad,False,False,True,False,0,0,0,0.6031746268,0.1984127015,0.5,0.5625,0.7142857313,0,0,-1,0,0.396825403,0.400000006,0.5454545617,0.2545454502,1,0.4847841263,0.1272727251,0.4727272689,0.4181818068,1,0.4909090996,0.2578125,0.6953125,0,true,0.5078125
9,09_03_Pad_06,Pad,False,False,True,False,0,0,0,0.6031746268,0.1984127015,0.5,0.5625,0.7142857313,0,0,-1,0,0.396825403,0.400000006,0.5454545617,0.2545454502,1,0.4847841263,0.1272727251,0.4727272689,0.4181818068,1,0.4909090996,0.2578125,0.6953125,0,true,0.5078125
10,09_03_Pluck_01,Pluck,False,False,False,True,2,1,0,0.3412698507,0.1984127015,0.796875,0.828125,0.6746031642,0,2,1,0,0.6190476418,0.1454545408,0.5636363626,0.4363636374,0.2578125,0.4847841263,0.05454545468,0.4181818068,0.2909090817,1,0.7272727489,0.5,0.1875,1,true,0.21875
11,09_03_Pad_01,Pad,False,False,True,False,1,0,0,0.5,0.3730158806,0.734375,0.8125,0.7109375,0,1,-1,0,0.5,0.400000006,0.5454545617,0.2545454502,1,0.4847841263,0,0.6000000238,0.5,1,0.5718053579,0.5,0.6875,0,true,0.359375
12,09_03_Pluck_06,Pluck,False,False,False,True,1,1,0,0.4285714328,0.1349206418,0.796875,0.828125,0.6746031642,0,0,1,0,0.571428597,0.2181818187,0.5272727013,0.2181818187,0.0625,0.4847841263,0.2545454502,0.2909090817,0.1636363566,0.0625,0.5454545617,0.3359375,0.6015625,1,true,0.4453125
